audio_filepath,start,end,text,pronunciation
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,775.76,780.399,καλύτερη Ναι Δεκάρα Καλά Δηλαδή είμαι,kalˈiterˌi nˈe ðekˈara kalˈa ðˌilaðˈi ˌime
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,778.8,781.92,νέος Γι αυτό ακριβώς νιώθω ότι απλώς,nˈeoz jˈi aftˈo ˌakrivˈoz ɲˈoθo ˈoti aplˈos
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,780.399,784.0,εξερευνώ αυτά τα πράγματα Για μένα είναι,ˌekserevnˈo aftˈa ta prˈaɣmatˌa jˈa mˈena ˌine
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,781.92,785.279,σαν να θέλω να καταλάβω,sˈan na θˈelo na kˌatalˈavo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,784.0,786.8,εννεν τόσο νέα Πιθανότατα τα έσιει πιλέ,ˈenen dˈoso nˈea pˌiθanˈotatˌa ta ˈesji pilˈe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,785.279,791.399,καταλάβει αυτά Είναι περίπου χρονών,kˌatalˈavi aftˈa ˌine perˈipu xronˈon
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,786.8,794.72,Εγώ είμαι Εσύ είσαι Πού είναι το μωρό,eɣˈo ˌime esˈi ˌise pˈu ˌine to morˈo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,791.399,796.959,Στάση Στάση Πότε πιστεύετε ότι ένα άτομο,stˈasi stˈasi pˈote pistˈevetˌe ˈoti ˌen ˈatomˌo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,794.72,799.12,χρειάζεται ψυχοθεραπεία Ποια είναι τα,xrçˈazetˌe psˌixoθˌerapˈia pˈia ˌine ta
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,796.959,800.32,κρίσιμα σημεία για να καταλάβεις ότι χρειάζεσαι,krˈisimˌa simˈia janˌa kˌatalˈavis ˈoti xrçˈazesˌe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,799.12,801.6,θεραπεία Επειδή πολλοί άνθρωποι,θˌerapˈia ˌepiðˈi polˈi ˈanθropˌi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,800.32,803.2,ντρέπονται να πάνε στη θεραπεία Το,drˈepodˌe na pˈane sti θˌerapˈia to
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,801.6,805.6,κρίσιμο λοιπόν τιτσίν είναι πριν νομίζεις ότι,krˈisimˌo lipˈon ditsˈin ˌine prˈin nomˈizis ˈoti
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,803.2,807.36,το χρειάζεσαι,to xrçˈazesˌe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,805.6,809.519,Καλά Βρίσκομαι λοιπόν στο κρίσιμο τιτσίν Χρειάζομαι,kalˈa vrˈiskomˌe lipˈon sto krˈisimˌo titsˈin xrçˈazomˌe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,807.36,811.12,θεραπεία Αν βρίσκεσαι στο σημείο,θˌerapˈi an vrˈiscesˌe sto simˈio
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,809.519,814.519,που το σκέφτεσαι,pu to scˈeftesˌe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,811.12,817.68,σημαίνει ότι το έχεις,simˈeni ˈoti to ˌeçis
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,814.519,819.279,πιλέ το χρειάζεσαι πραγματικά εννεν,pilˈe to xrçˈazesˌe prˌaɣmatikˈa ˈenen
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,817.68,821.8389999999999,κάτι που χρειάζεται να,kˈati pu xrçˈazetˌe na
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,819.279,823.68,σκέφτεσαι πια Θαρκούμαι ότι η ψυχοθεραπεία,scˈeftesˌe pçˈa θarkˈume ˈoti i psˌixoθˌerapˈia
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,821.8389999999999,825.279,είναι για όλους τζαί θαρκούμαι ότι είναι,ˌine jˈa ˈolus dzˈe θarkˈume ˈoti ˌine
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,823.68,827.8389999999999,υπέροχο να ξεκινήσει ο καθένας κάποια,ipˈeroxˌo na ksˌecinˈisi o kaθˈenas kˈapiˌa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,825.279,830.079,στιγμή στη ζωή του επειδή έχουμε βιώσει,stiɣmˈi sti zoˈi tu ˌepiðˈi ˌexumˌe viˈosi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,827.8389999999999,832.9590000000001,τραύματα από την παιδική ηλικία Έχουμε προγονικό,trˈavmat apˌo tim bˌeðicˈi ˌilicˈia ˌexumˌe prˌoɣonikˈo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,830.079,835.76,τραύμα Έχουμε βιώσει τραύμα πολύ πριν καν,trˈavma ˌexumˌe viˈosi trˈavma polˈi prˈiŋ ɡˈan
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,832.9590000000001,838.9590000000001,καταλάβουμε ότι το έχουμε βιώσει Μμμ Έτσι από,kˌatalˈavumˌe ˈoti to ˌexumˌe viˈosi mˌimˌimˈi ˈetsi apˌo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,835.76,839.9590000000001,τη στιγμή που βρισκόμασταν στη μήτρα της,ti stiɣmˈi pu vriskˈomastˌan sti mˈitra tis
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,839.9590000000001,846.16,μητέρας μας στο μας στα κύτταρά μας φέρουμε,mitˈeraz mas sto mas sta cˈitarˈa mas fˈerumˌe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,844.399,849.12,αυτά τα κύτταρα της μητέρας μας τζαί των,aftˈa ta cˈitarˌa tiz mitˈeraz mas dzˈe ton
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,846.16,851.44,γενεών πριν από εμάς Τζαί,jˌeneˈom brˈin apˌo emˈas dzˈe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,849.12,853.36,σε αυτά τα κύτταρα όι μόνο,se aftˈa ta cˈitarˌa ˈoɪ mˈono
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,851.44,856.68,μεταφέρεις το γαίμα τους αλλά μεταφέρεις τζαί το,mˌetafˈeris to jˈema tus alˌa mˌetafˈeris dzˈe to
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,853.36,859.44,τραύμα τζαί τα δυνατά τους σημεία,trˈavma dzˈe ta ðˌinatˈa tus simˈia
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,856.68,862.48,Επομένως αυτό ζει μαζί μας σε όλη,ˌepomˈenos aftˈo zˈi mazˌi mas se ˈoli
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,859.44,865.519,μας τη ζωή τζαί έχουμε αυτά τα μοτίβα,mas ti zoˈi dzˈe ˌexumˌe aftˈa ta motˈiva
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,862.48,868.079,που μπορούν να εμφανιστούν στη ζωή μας τα οποία,pu borˈun na ˌemfanistˈun sti zoˈi mas ta opˈia
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,865.519,870.88,μπορεί να κουβαλάμε βάρη,borˈi na kˌuvalˈame vˈari
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,868.079,872.399,όπως η διαταραχή μετατραυματικού στρες η,ˈopos i ðˌiatˌaraçˈi mˌetatrˌavmatikˈu strˈes ˈita
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,870.88,874.72,αφοσίωση,ˌafosˈiosˌi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,872.399,876.32,στους γονείς μας σε κάποιον στην,stuz ɣonˈiz mas se kˈapiˌon stin
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,874.72,879.04,οικογένεια Τζαί αυτό ακριβώς είναι το αντικείμενο στο οποίο,ˌikojˈeɲa dzˈe aftˈo ˌakrivˈos ˌine to ˌadicˈimenˌo sto opˈio
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,876.32,882.8,ειδικεύομαι στους οικογενειακούς αστερισμούς,ˌiðicˈevomˌe stus ˌikojˌeɲakˈus ˌasterismˈus
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,879.04,886.16,που είναι η εξέταση των συνδέσεων,pu ˌine i eksˈetasˌi ton sinðˈeseˌon
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,882.8,890.199,τζαί της δυναμικής μέσα στην οικογένεια τζαί,dzˈe tiz ðˌinamicˈiz mˌesa stin ˌikojˈeɲa dzˈe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,886.16,893.6,μέσα στους προγόνους Πώς λοιπόν οι,mˌesa stus proɣˈonus pˈoz lipˈon i
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,890.199,896.24,πρόγονοι μπορούν να σε στηρίξουν σε αυτή τη ζωή,prˈoɣonˌi borˈun na se stirˈiksun se aftˈi ti zoˈi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,893.6,898.399,τζαί πώς μπορείς να σπάσεις αυτά τα γενεαλογικά,dzˈe pˈoz borˈiz na spˈasis aftˈa ta jˌeneˌalojikˈa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,896.24,900.8,μοτίβα τζαί το τραύμα που,motˈiva dzˈe to trˈavma pu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,898.399,904.32,σου έσιει μεταδοθεί μέσω της,su ˈesji mˌetaðoθˈi mˈeso tis
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,900.8,906.56,οικογένειας στην οποία έχεις επιλέξει να ζήσεις για να,ˌikojˈeɲas stin opˈia ˌeçis ˌepilˈeksi na zˈisiz janˌa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,904.32,908.88,γεννηθείς Ναι Οι γονείς μου είναι,jˌeniθˈiz nˈe i ɣonˈiz mu ˌine
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,906.56,910.399,διαζευγμένοι Πιστεύετε ότι τα παιδιά,ðˌiazevɣmˈeni pistˈevetˌe ˈoti ta pˌeðiˈa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,908.88,914.16,που έχουν χωρισμένους γονείς έχουν περισσότερο,pu ˌexun xˌorismˈenuz ɣonˈis ˌexum bˌerissˈoterˌo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,910.399,915.6,τραύμα εν έννα έλεγα ότι το τραύμα,trˈavma ˈen ˈena ˈeleɣˌa ˈoti to trˈavma
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,914.16,917.6,εννεν κάτι που μπορείς να συγκρίνεις,ˈeneŋ ɡˈati pu borˈiz na siŋɡrˈinis
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,915.6,921.68,με το αν αυτό είναι πιο επώδυνο όξα το άλλο είναι,me to an aftˈo ˌine pçˈo epˈoðinˌo ˈoksa to ˈalo ˌine
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,917.6,924.0,λιγότερο επώδυνο Ναι Σίγουρα όμως,liɣˈoterˌo epˈoðinˌo nˈe sˈiɣurˌa ˈomos
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,921.68,927.199,οι επιπτώσεις ενός διαζυγίου σε ένα παιδί είναι,i ˌepiptˈosis enˌoz ðˌiazijˈiu se ˌena peðˈi ˌine
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,924.0,930.48,τεράστιες Μμμ Επειδή η ιδανική,terˈastiˌez mˌimˌimˈi ˌepiðˈi i ˌiðanicˈi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,927.199,932.16,κατάσταση για κάθε παιδί είναι να έσιει μια,katˈastasˌi jˈa kˈaθe peðˈi ˌine na ˈesji mɲa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,930.48,935.04,ευτυχισμένη οικογένεια τζαί να έσιει,ˌeftiçismˈeni ˌikojˈeɲa dzˈe na ˈesji
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,932.16,937.279,τους γονείς μαζί Έτσι όταν,tuz ɣonˈiz mazˌi ˈetsi ˈotan
