,audio_filepath,start,end,text,pronunciation
0,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,295.759,299.84000000000003,ανησυχείς εν πρόκειται να με βρει καλά,anisiçis em brocite na me vri kala
1,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,297.88,301.4,παιδάκι μου ούτε η μαμά σου ούτε ο,pethaci mu ute i mama su ute omikron
2,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,299.84000000000003,304.44,μπαμπάς σου ξέρουν σε ιο ξενοδοχείο,babas su kserun se io ksenothoçio
3,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,301.4,306.24,είσαι όι εν τους το είπα επίτηδες μην,ise oɪ en dus to ipa epitithez min
4,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,304.44,309.479,τους φέρει τούμπα ο σήφης τζαί του πουν,tus feri tuba o sifis dze tu pun
5,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,306.24,314.08,καλού κακού πάντως να προσέχεις ναι έννα,kalu kaku padoz na proseçiz ne ena
6,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,309.479,314.08,προσέχω βασιλική τα λέμε αργότερα,prosecho vasilici ta leme arghotera
7,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,315.6,322.84,γεια ήντα,ja ida
8,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,322.84,328.639,συμβαίνει,simveni
9,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,325.36,331.6,έλα πες ήντα,ela pes ida
10,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,328.639,333.479,συμβαίνει μίλα μα όπως έννα μιλούσε σε ένα,simveni mila ma opos ena miluse se ena
11,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,331.6,336.36,φίλο,filo
12,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,333.479,339.08,σου,su
13,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,336.36,340.88,άστο πάντως θέλω να ξέρεις πως εν είσαι,asto pados thelo na kseris pos en ise
14,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,339.08,342.759,εσύ ο λόγος που,esi o loghos pu
15,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,340.88,345.639,χώρισα,chorisa
16,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,342.759,347.24,πάντως μη νομίζεις ότι αν χώρισες,padoz mi nomizis oti an chorises
17,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,345.639,349.8,για μένα έννα παρνα τα πάνω μου τζαί έννα,ja mena ena parna ta pano mu dze ena
18,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,347.24,349.8,κολακευομαι,kolacevome
19,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,350.4,355.08,α επί πόλη τζαί έννα σκεφτόμουν ότι ίσως,alfa epi poli dze ena sceftomun oti isos
20,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,353.199,356.16,αύριο μεθ αύριο έννα φερόσουν το ίδιο τζαί,avrio meth avrio ena ferosun do ithio dze
21,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,355.08,358.72,σε,se
22,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,356.16,361.12,μένα είμαι σίγουρος ότι είναι κάτι που,mena ime sighuros oti ine kati pu
23,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,358.72,365.56,σε ξεπερνάει,se ksepernai
24,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,361.12,365.56,ήντα σου κανε είναι αυτό με το,ida su kane ine afto me to
25,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,367.44,373.84,παιδί εν αρκεί μόνο αυτό θέλω να τους,pethi en arci mono afto thelo na tus
26,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,370.8,375.199,αποτελειώσουν τους ματθαίους να σβηστούν,apoteʎosun duz mattheuz na svistun
27,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,373.84,377.12,απ το,ap to
28,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,375.199,380.88,χάρτη έλα,charti ela
29,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,377.12,384.72,πες έσιει σχέση με το παιδί του σήφη,pes esji sçesi me to pethi tu sifi
30,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,380.88,384.72,έμαθες κάτι γύρω από αυτό το,emathes kati jiro apo afto to
31,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,388.56,391.56,θέμα,thema
32,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,392.199,398.96,σου έφτιαξα τον καφέ σου σκέτο η ζάχαρη,su eftiaksa toŋ ɡafe su sceto i zachari
33,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,395.919,401.599,κομμένη εντάξει εντάξει τους τάπα ένα,komeni edaksi edaksi tus tapa ena
34,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,398.96,403.72,χεράκι με το γάντι βέβαια λαλώ κορίτσια,çeraci me to ghadi vevea lalo koritsia
35,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,401.599,405.88,εν μπορούμε να συζητάμε για μαλλιά,en borume na sizitame ja maʎa
36,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,403.72,408.44,ρούχα τζαί μόδα όταν στην επιχείρησή μας,rucha dze motha otan stin epiçirisi mas
37,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,405.88,410.84,γίνεται της μουρλής γιατί μου λέει η,jinete tiz murliz jati mu lei ita
38,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,408.44,413.759,ευριδίκη του αχιλλέα ας μην,evrithici tu açile az min
39,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,410.84,416.24,ανακατευόμαστε σε ξένες δουλειές ξένες,anakatevomaste se ksenez thuʎes ksenes
40,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,413.759,419.759,δουλειές οι δουλειές του άντρα μας,thuʎes i thuʎes tu adra mas
41,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,416.24,421.8,έξαλλο έγινα παιδί μου αυτές εν ξέρω,eksalo ejina pethi mu aftes eŋ ɡzero
42,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,419.759,424.24,πόσα μπουκάλια εμφιαλώνουν ήντα ζήτηση,posa bukaʎa emfialonun ida zitisi
43,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,421.8,427.0,έχουμε στην αγορά πότε γίνεται ο τρίγγος,echume stin aghora pote jinete o triŋɡos
44,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,424.24,429.96,καλά εντάξει εδώ υπερβάλλω πάντως από,kala edaksi etho ipervalo pados apo
45,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,427.0,433.039,κατηγορίες τα φιλιών εν έχουν ιδέα αν,katighories ta fiʎon en echun ithe an
46,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,429.96,436.36,τις ρωτήσεις ήντα είναι το μοσχάτο έννα σου,tiz rotisis ida ine to moschato ena su
47,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,433.039,439.759,πουν περιοχή στον πειραιά άσχετε σου,pum berioçi stom birea asçete su
48,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,436.36,442.599,σταμάτα δάφνη σταμάτα επιτέλους ήντα είπα,stamata thafni stamata epitelus ida ipa
49,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,439.759,446.72,κάτι που εν έπρεπε κάνεις πολύ θόρυβο,kati pu en eprepe kanis poli thorivo
50,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,442.599,448.52,τζαί με ενοχλείς α σκέφτομαι,dze me enochlis alfa sceftome
51,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,446.72,451.52,α,alfa
52,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,448.52,451.52,ήντα,ida
53,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,454.12,459.039,ο σήφης με την,o sifiz me tin
54,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,456.72,463.59,αναστασία πρέπει να είναι πίσω από το,anastasia prepi na ine piso apo to
55,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,459.039,474.4,σαμποτάζ των ανθέων χριστός τζαί παναγία,sabotaz ton antheon christos dze panajia
56,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,474.4,477.4,λες,les
57,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,478.44,487.039,εντάξει σε ευχαριστώ σίγουρα νιώθεις,edaksi se efcharisto sighura nyothis
58,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,482.639,490.319,καλύτερα ναι αλλά θέλω να μείνω μόνη,kalitera ne ala thelo na mino moni
59,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,487.039,492.759,θέλω να σκεφτώ έχω να οργανώσω τη ζωή,thelo na scefto echo na orghanoso ti zoi
60,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,490.319,496.8,μου απ την αρκημός έχω πολλές εκκρεμότητες,mu ap tin arcimos echo poles ekremotites
61,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,492.759,500.44,γιατί είσαι τόσο τρομ νη μελίνα φοβάσαι,jati ise toso trom ni melina fovase
62,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,496.8,502.0,μη σα σκοτώσει ο σήφης πού ζούμε ούτε οι,mi sa skotosi o sifis pu zume ute i
63,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,500.44,506.12,πρώτοι είστε ούτε οι τελευταίοι που,proti iste ute i teleftei pu
64,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,502.0,509.72,χωρίζετε εν τον ξέρεις κανέναν τους εν,chorizete en doŋ ɡzeris kanenan dus en
65,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,506.12,513.76,ξέρεις είμαι σε απόγνωση φύγε σε,kseris ime se apoghnosi fije se
66,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,509.72,518.0,παρακαλώ εν ξέρεις γ αυτό μιλάς εντάξει,parakalo eŋ ɡzeriz gham afto milas edaksi
67,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,513.76,521.039,έννα φύγω αλλά όι απ την αθήνα ούτε από,ena figho ala oɪ ap tin athina ute apo
68,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,518.0,525.0,αυτό το ξενοδοχείο γ αυτό για οτιδήποτε,afto to ksenothoçio gham afto ja otithipote
69,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,521.039,527.48,χρειαστείς έννα είμαι στο διπλανό,chrçastis ena ime sto thiplano
70,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,525.0,531.36,δωμάτιο μόνο που θέλω να βρεθούμε το,thomatio mono pu thelo na vrethume to
71,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,527.48,535.0,βράδυ να φάμε μαζί πες ναι να μου,vrathi na fame mazi pez ne na mu
72,/kaggle/input/audio-files/Audio_Files/47hTaXmF3SA.wav,531.36,535.0,μιλήσεις έλω εν θέλω τίποτα,milisis elo en thelo tipota
